Component,Origin,License,Copyright
github.com/DataDog/appsec-internal-go,https://github.com/DataDog/appsec-internal-go,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/comp/core/tagger/origindetection,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/obfuscate,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/proto/pbgo/trace,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/remoteconfig/state,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/trace,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/util/log,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/util/scrubber,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-agent/pkg/version,https://github.com/DataDog/datadog-agent,Apache-2.0,"Datadog, Inc."
github.com/DataDog/datadog-go/v5/statsd,https://github.com/DataDog/datadog-go,MIT,"Datadog, Inc"
github.com/DataDog/dd-trace-go/v2,https://github.com/DataDog/dd-trace-go,Apache-2.0,"Datadog, Inc."
github.com/DataDog/go-libddwaf/v4,https://github.com/DataDog/go-libddwaf,Apache-2.0,"Datadog, Inc."
github.com/DataDog/go-runtime-metrics-internal/pkg/runtimemetrics,https://github.com/DataDog/go-runtime-metrics-internal,Apache-2.0,"Datadog, Inc."
github.com/DataDog/go-sqllexer,https://github.com/DataDog/go-sqllexer,MIT,"Datadog, Inc"
github.com/DataDog/go-tuf,https://github.com/DataDog/go-tuf,BSD-3-Clause,"Prime Directive, Inc"
github.com/DataDog/opentelemetry-mapping-go/pkg/otlp/attributes,https://github.com/DataDog/opentelemetry-mapping-go,Apache-2.0,"Datadog, Inc."
github.com/DataDog/sketches-go/ddsketch,https://github.com/DataDog/sketches-go,Apache-2.0,"Datadog, Inc."
github.com/Masterminds/semver/v3,https://github.com/Masterminds/semver,MIT,"2014-2019, Matt Butcher and Matt Farina"
github.com/Microsoft/go-winio,https://github.com/Microsoft/go-winio,MIT,Microsoft
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash,MIT,"Caleb Spare"
github.com/cihub/seelog,https://github.com/cihub/seelog,BSD-3-Clause,"2012, Cloud Instruments Co"
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew,ISC,"Dave Collins"
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize,MIT,"Dustin Sallings"
github.com/eapache/queue/v2,https://github.com/eapache/queue,MIT,"Evan Huus"
github.com/ebitengine/purego,https://github.com/ebitengine/purego,Apache-2.0,"Ebitengine"
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify,BSD-3-Clause,"The Go Authors"
github.com/go-ole/go-ole,https://github.com/go-ole/go-ole,MIT,"2013-2017 Yasuhiro Matsumoto"
